tweet_text,tweet_ids
https://t.co/nosN75WVxt,1340517052705091586
https://t.co/mVOIboynpb,1340516843791020033
RT @gregkellyusa: So there’s ⁦@TTuberville⁩ —on his way to the US SENATE.  I hear we should be able to COUNT ON HIM on JAN 6th. He’s a worl…,1340485548524318721
Watch @RealPNavarro NOW on the Election Fraud. @JesseBWatters  @FoxNews,1340466552420896769
https://t.co/Xr1fgfxPr2,1340395245679353869
https://t.co/tVpKRrC8VP,1340393421069053954
https://t.co/UtbrPnJKz1,1340386865799712772
The lie of the year is that Joe Biden won! Christina Bobb @OANN,1340386251866828802
https://t.co/xcN3Dur87Q,1340381132467171332
We don’t want to have lockdowns. The cure cannot be worse than the problem itself! https://t.co/sHBJfG9T8X,1340377186847625218
"The entire WORLD is being badly hurt by the China Virus, but if you listen to the Fake News Lamestream Media, and Big Tech, you would think that we are the only one. No, but we are the Country that developed vaccines, and years ahead of schedule! https://t.co/z1UoJ8lbTm",1340376176695631872
Very happy to have helped get @WreathsAcross America so beautifully open and operating today. Congratulations to all of those who have worked so hard for this great success!,1340373798617559040
https://t.co/6YpmZqdP4k,1340368820079345664
https://t.co/ftlALc6UWn,1340362336390004737
"....discussing the possibility that it may be China (it may!). There could also have been a hit on our ridiculous voting machines during the election, which is now obvious that I won big, making it an even more corrupted embarrassment for the USA. @DNI_Ratcliffe @SecPompeo",1340333619299147781
"The Cyber Hack is far greater in the Fake News Media than in actuality. I have been fully briefed and everything is well under control. Russia, Russia, Russia is the priority chant when anything happens because Lamestream is, for mostly financial reasons, petrified of....",1340333618691002368
RT @DineshDSouza: WATCH: Greg Kelly breaks down Joe Biden's latest fumbling interview so you don't have to https://t.co/Oa3gDXvFZs,1340315201288212481
"He didn’t win the Election. He lost all 6 Swing States, by a lot. They then dumped hundreds of thousands of votes in each one, and got caught. Now Republican politicians have to fight so that their great victory is not stolen. Don’t be weak fools! https://t.co/d9Bgu8XPIj",1340306154031857665
"RT @politico: America's newest branch of the military is celebrating the end of its first year, and now its members will have something to…",1340301344037597189
"RT @TwitterMoments: For the first time in decades, the US has a new military service: Space Force is official with Trump’s signing of the N…",1340301220632813570
"RT @SpaceForceDoD: Today, after a yearlong process that produced hundreds of submissions and research involving space professionals and mem…",1340300699754741766
One of the Trump Administration’s great achievements into the future will be the authorization and start up of the SPACE FORCE. 75 years since Air Force. Congratulations to all! https://t.co/iG011Jt50r,1340300394640117762
"RT @Quicktake: “It is my honor, on behalf of the president of the United States, to announce that henceforth, the men and women of the Unit…",1340297907153604609
"Peter Navarro releases 36-page report alleging election fraud 'more than sufficient' to swing victory to Trump https://t.co/D8KrMHnFdK. A great report by Peter. Statistically impossible to have lost the 2020 Election. Big protest in D.C. on January 6th. Be there, will be wild!",1340185773220515840
"Congratulations, the Moderna vaccine is now available!",1340096386113687554
